#TYPE System.Management.Automation.PSCustomObject
"index","type","ip","name","status","time","rtt","count","downtime"
"9","icmp","192.168.10.11","C-Ort - OLA Server Master","40","2025-07-21 07:38:17","","985","2025-07-18 16:29:40"
"10","icmp","192.168.10.12","C-Ort - OLA Server Slave","40","2025-07-21 07:38:17","","985","2025-07-18 16:29:41"
"1","icmp","10.20.10.29","Arena - MTBO - SSW19","40","2025-07-21 07:38:27","","985","2025-07-18 16:29:39"
"2","icmp","192.168.13.15","MTBO - OLA Server Master","40","2025-07-21 07:38:27","","220","2025-07-18 18:56:55"
"3","icmp","192.168.13.16","MTBO - OLA Server Slave","40","2025-07-21 07:38:27","","220","2025-07-18 18:56:55"
"4","icmp","192.168.13.1","MTBO - Firewall","40","2025-07-21 07:38:27","","220","2025-07-18 18:56:56"
"5","icmp","192.168.99.1","MTBO - Teltonika Router","40","2025-07-21 07:38:27","","220","2025-07-18 18:56:56"
"6","icmp","1.1.1.1","Internet - one.one.one.one","40","2025-07-21 07:38:27","","220","2025-07-18 18:56:57"
"7","icmp","9.9.9.9","Internet - Quad Nine","40","2025-07-21 07:38:27","","220","2025-07-18 18:56:57"
"9","icmp","192.168.10.11","C-Ort - OLA Server Master","40","2025-07-21 07:38:27","","986","2025-07-18 16:29:40"
"10","icmp","192.168.10.12","C-Ort - OLA Server Slave","40","2025-07-21 07:38:27","","986","2025-07-18 16:29:41"
"1","icmp","10.20.10.29","Arena - MTBO - SSW19","40","2025-07-21 07:38:37","","986","2025-07-18 16:29:39"
"2","icmp","192.168.13.15","MTBO - OLA Server Master","40","2025-07-21 07:38:37","","221","2025-07-18 18:56:55"
"3","icmp","192.168.13.16","MTBO - OLA Server Slave","40","2025-07-21 07:38:37","","221","2025-07-18 18:56:55"
"4","icmp","192.168.13.1","MTBO - Firewall","40","2025-07-21 07:38:37","","221","2025-07-18 18:56:56"
"5","icmp","192.168.99.1","MTBO - Teltonika Router","40","2025-07-21 07:38:37","","221","2025-07-18 18:56:56"
"6","icmp","1.1.1.1","Internet - one.one.one.one","40","2025-07-21 07:38:37","","221","2025-07-18 18:56:57"
"7","icmp","9.9.9.9","Internet - Quad Nine","40","2025-07-21 07:38:37","","221","2025-07-18 18:56:57"
"9","icmp","192.168.10.11","C-Ort - OLA Server Master","40","2025-07-21 07:38:37","","987","2025-07-18 16:29:40"
"10","icmp","192.168.10.12","C-Ort - OLA Server Slave","40","2025-07-21 07:38:37","","987","2025-07-18 16:29:41"
"1","icmp","10.20.10.29","Arena - MTBO - SSW19","40","2025-07-21 07:38:48","","987","2025-07-18 16:29:39"
"5","icmp","192.168.99.1","MTBO - Teltonika Router","40","2025-07-21 07:38:48","","222","2025-07-18 18:56:56"
"1","icmp","10.20.10.29","Arena - MTBO - SSW19","40","2025-07-21 07:38:59","","988","2025-07-18 16:29:39"
"5","icmp","192.168.99.1","MTBO - Teltonika Router","40","2025-07-21 07:38:59","","223","2025-07-18 18:56:56"
"1","icmp","10.20.10.29","Arena - MTBO - SSW19","40","2025-07-21 07:39:10","","989","2025-07-18 16:29:39"
"5","icmp","192.168.99.1","MTBO - Teltonika Router","40","2025-07-21 07:39:10","","224","2025-07-18 18:56:56"
"1","icmp","10.20.10.29","Arena - MTBO - SSW19","40","2025-07-21 07:39:21","","990","2025-07-18 16:29:39"
"5","icmp","192.168.99.1","MTBO - Teltonika Router","40","2025-07-21 07:39:21","","225","2025-07-18 18:56:56"
"1","icmp","10.20.10.29","Arena - MTBO - SSW19","40","2025-07-21 07:39:33","","991","2025-07-18 16:29:39"
"2","icmp","10.20.10.21","Arena - Kiosk 1 - SSW11","40","2025-07-21 07:41:49","","5","2025-07-21 07:41:49"
"7","icmp","10.20.10.12","Arena - Verifiering - SSW02","40","2025-07-21 07:41:49","","5","2025-07-21 07:41:49"
"8","icmp","10.20.10.13","Arena - Kiosk - SSW03","40","2025-07-21 07:41:50","","5","2025-07-21 07:41:50"
"9","icmp","10.20.10.16","Arena - Verifiering - SSW06","40","2025-07-21 07:41:50","","5","2025-07-21 07:41:50"
"10","icmp","10.20.10.17","Arena - Kiosk 2 - SSW07","40","2025-07-21 07:41:51","","5","2025-07-21 07:41:51"
"11","icmp","10.20.10.18","Arena - MTBO - SSW08","40","2025-07-21 07:41:51","","5","2025-07-21 07:41:51"
"12","icmp","10.20.10.20","Arena - Kiosk 3 - SSW10","40","2025-07-21 07:41:52","","5","2025-07-21 07:41:52"
"13","icmp","10.20.10.23","Arena - Deltagarservice - SSW13","40","2025-07-21 07:41:52","","5","2025-07-21 07:41:52"
"14","icmp","10.20.10.14","Arena - SporttÃ¤lt - SSW14","40","2025-07-21 07:41:53","","5","2025-07-21 07:41:53"
"15","icmp","10.20.10.25","Arena - MÃ¥l - Syd - SSW15","40","2025-07-21 07:41:53","","5","2025-07-21 07:41:53"
"16","icmp","10.20.10.26","Arena - Miniknat - SSW16","40","2025-07-21 07:41:54","","5","2025-07-21 07:41:54"
"17","icmp","10.20.10.30","Arena - MÃ¥l - SSW20","40","2025-07-21 07:41:54","","5","2025-07-21 07:41:54"
"18","icmp","10.20.10.12","Arena - Verifiering - SSW06","40","2025-07-21 07:41:55","","5","2025-07-21 07:41:55"
"19","icmp","10.20.10.12","Arena - Verifiering - SSW06","40","2025-07-21 07:41:55","","5","2025-07-21 07:41:55"
"20","icmp","10.20.10.12","Arena - Verifiering - SSW06","40","2025-07-21 07:41:56","","5","2025-07-21 07:41:56"
"37","icmp","192.168.99.1","MTBO - Teltonika Router","40","2025-07-21 07:42:00","","5","2025-07-21 07:42:00"
"2","icmp","10.20.10.21","Arena - Kiosk 1 - SSW11","40","2025-07-21 07:42:11","","6","2025-07-21 07:41:49"
"7","icmp","10.20.10.12","Arena - Verifiering - SSW02","40","2025-07-21 07:42:11","","6","2025-07-21 07:41:49"
"8","icmp","10.20.10.13","Arena - Kiosk - SSW03","40","2025-07-21 07:42:12","","6","2025-07-21 07:41:50"
"9","icmp","10.20.10.16","Arena - Verifiering - SSW06","40","2025-07-21 07:42:12","","6","2025-07-21 07:41:50"
"10","icmp","10.20.10.17","Arena - Kiosk 2 - SSW07","40","2025-07-21 07:42:13","","6","2025-07-21 07:41:51"
"11","icmp","10.20.10.18","Arena - MTBO - SSW08","40","2025-07-21 07:42:13","","6","2025-07-21 07:41:51"
