#TYPE System.Management.Automation.PSCustomObject
"index","type","ip","name","status","time","rtt","count","downtime"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:09:04","","16","2025-07-17 15:06:55"
"8","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:09:04","","16","2025-07-17 15:06:56"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:09:15","","17","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:09:15","","17","2025-07-17 15:06:55"
"8","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:09:16","","17","2025-07-17 15:06:56"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:09:27","","18","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:09:27","","18","2025-07-17 15:06:55"
"8","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:09:27","","18","2025-07-17 15:06:56"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:09:38","","19","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:09:38","","19","2025-07-17 15:06:55"
"8","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:09:39","","19","2025-07-17 15:06:56"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:09:50","","20","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:09:50","","20","2025-07-17 15:06:55"
"8","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:09:50","","20","2025-07-17 15:06:56"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:10:01","","21","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:10:01","","21","2025-07-17 15:06:55"
"8","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:10:02","","21","2025-07-17 15:06:56"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:10:13","","22","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:10:13","","22","2025-07-17 15:06:55"
"8","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:10:13","","22","2025-07-17 15:06:56"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:10:24","","23","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:10:24","","23","2025-07-17 15:06:55"
"8","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:10:25","","23","2025-07-17 15:06:56"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:10:36","","24","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:10:36","","24","2025-07-17 15:06:55"
"8","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:10:37","","24","2025-07-17 15:06:56"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:10:48","","25","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:10:48","","25","2025-07-17 15:06:55"
"8","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:10:49","","25","2025-07-17 15:06:56"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:11:00","","26","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:11:00","","26","2025-07-17 15:06:55"
"8","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:11:01","","26","2025-07-17 15:06:56"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:11:12","","27","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:11:12","","27","2025-07-17 15:06:55"
"8","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:11:13","","27","2025-07-17 15:06:56"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:11:24","","28","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:11:24","","28","2025-07-17 15:06:55"
"8","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:11:25","","28","2025-07-17 15:06:56"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:11:36","","29","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:11:36","","29","2025-07-17 15:06:55"
"8","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:11:37","","29","2025-07-17 15:06:56"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:11:48","","30","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:11:48","","30","2025-07-17 15:06:55"
"8","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:11:49","","30","2025-07-17 15:06:56"
