#TYPE System.Management.Automation.PSCustomObject
"index","type","ip","name","status","time","rtt","count","downtime"
"1","OLA","Status: ","C-ORT - K??k - OLA Server 2 - OL","40","2025-08-02 20:09:54","","1",""
"8","OLA","Status: ","C-ORT - K̦k - OLA Server 1 - OL","40","2025-08-02 20:09:56","","1",""
"9","OLA","Status: ","Arena - Buss - OLA Server 1 - OL","40","2025-08-02 20:09:58","","1",""
"10","OLA","Status: ","Arena - Buss - OLA Server 2 - OL","40","2025-08-02 20:10:00","","1",""
"15","OLA","Status: ","Arena - Buss - OLA Server 1 - OL","40","2025-08-02 20:10:02","","1",""
"16","OLA","Status: ","Arena - Buss - OLA Server 2 - OL","40","2025-08-02 20:10:04","","1",""
"1","OLA","Status: ","C-ORT - K̦k - OLA Server 2 - OL","40","2025-08-02 20:10:16","","2",""
"8","OLA","Status: ","C-ORT - K̦k - OLA Server 1 - OL","40","2025-08-02 20:10:19","","2",""
